#{"t_start": 1598826891.8652916, "env_id": "WalrusBalance-v0"}
r,l,t
39.737587,4,1659.074554
54.818294,5,1660.504417
34.20677,3,1661.518827
82.835924,7,1663.403798
94.266851,7,1665.274087
48.943192,4,1666.574383
63.411388,5,1668.053609
64.272459,5,1669.47521
29.651309,4,1670.747139
33.807694,3,1671.779138
77.047341,8,1673.803008
44.664004,5,1675.225826
86.832591,8,1677.259982
136.323044,12,1680.163063
117.447623,10,1682.614146
77.761494,8,1684.681953
49.491368,4,1685.975082
28.778797,4,1687.247733
43.116208,5,1688.687654
97.458586,8,1690.737497
34.372214,3,1691.762692
39.351795,4,1692.983317
29.800219,4,1694.245803
34.616548,5,1695.738406
39.691307,4,1697.032007
54.690574,5,1698.431674
128.302692,10,1700.928293
138.616436,12,1703.81494
29.622388,4,1705.080043
77.3864,8,1707.165924
44.605147,5,1708.627924
87.603886,8,1710.670442
39.726853,4,1711.934532
29.781544,4,1713.217091
34.458034,3,1714.240646
59.591412,6,1715.908744
109.760876,11,1718.587417
28.816655,4,1719.792064
23.713862,3,1720.837289
63.97795,5,1722.277468
33.868865,3,1723.311834
44.571959,5,1724.73476
54.540376,5,1726.160314
64.461182,5,1727.612495
53.778816,5,1729.079971
71.39651,7,1730.922197
104.270649,9,1733.230774
34.46153,3,1734.236413
90.794688,9,1736.538371
34.431512,3,1737.596266
29.788246,4,1738.793545
24.395851,3,1739.80894
34.246113,3,1740.854067
38.850245,4,1742.097345
78.799261,8,1744.2241
28.881463,4,1745.456434
64.15447,5,1746.869697
34.616327,3,1747.866124
34.685839,3,1748.861346
68.490515,6,1750.458905
